#Time of request completion (in ms after experiment start), Session ID, Time taken to open connection with server (ms), Time taken to receive first byte of reply (ms), Time taken to receive last byte of reply (ms), number of concurrent sessions in the system, size of response (bytes) 
174389.151,119,-1.0,164.4,27.6,127,13538
174983.183,32,-1.0,102.2,0.0,126,1909
174990.178,118,-1.0,168.2,0.0,126,1513
174882.176,3,-1.0,291.5,0.0,126,785
175160.185,121,-1.0,159.2,7.6,126,13858
175523.205,86,-1.0,152.6,7.7,125,13682
176123.236,129,-1.0,232.9,0.0,124,2427
176417.248,104,-1.0,184.9,8.4,124,13680
176505.260,42,-1.0,155.6,20.2,123,10866
176451.246,115,-1.0,321.1,18.9,124,13739
176532.250,142,-1.0,387.1,0.0,124,785
176687.271,165,92.4,153.3,18.4,124,10972
176828.275,128,-1.0,159.1,23.8,124,10866
177030.275,166,20.3,114.4,16.2,125,10972
177008.275,21,-1.0,342.6,0.0,125,789
177269.293,123,-1.0,111.7,6.0,124,10866
177545.299,41,-1.0,206.8,0.0,125,803
177643.307,167,17.3,141.5,6.7,125,10972
177758.316,107,-1.0,190.6,42.8,125,13801
177881.321,116,-1.0,249.2,7.8,125,13739
177905.326,18,-1.0,267.5,0.0,125,762
178414.343,168,16.7,107.6,7.0,126,10972
179232.376,134,-1.0,235.0,0.0,126,2555
179473.392,125,-1.0,229.8,0.0,126,2487
179796.407,59,-1.0,91.7,6.3,125,10866
180086.421,73,-1.0,198.4,6.7,125,11914
180152.420,157,-1.0,283.6,0.0,125,785
180500.437,38,-1.0,94.2,16.5,125,10866
181059.464,98,-1.0,96.9,6.2,125,10866
181282.472,96,-1.0,175.0,6.8,125,11914
181810.503,169,20.0,120.5,6.9,126,10972
182025.508,6,-1.0,69.5,0.0,126,1909
182186.518,158,-1.0,61.4,0.0,126,1416
182063.508,62,-1.0,282.5,0.0,126,2513
182323.528,51,-1.0,224.2,6.3,126,10866
182351.522,122,-1.0,448.6,0.0,126,789
182308.519,108,-1.0,499.0,0.0,125,785
182432.533,130,-1.0,394.4,0.0,124,2374
182917.558,50,-1.0,81.3,0.0,124,1909
182638.538,144,-1.0,469.3,23.8,125,13739
182996.552,100,-1.0,314.6,0.0,125,785
183128.558,170,42.1,152.2,7.2,125,10972
183762.587,101,-1.0,83.3,0.0,125,1909
183752.592,33,-1.0,120.2,18.2,124,10866
184521.623,154,-1.0,174.3,6.8,124,11914
185170.656,171,19.9,116.8,7.0,125,10972
185481.668,53,-1.0,196.3,8.1,125,13728
185588.683,82,-1.0,221.0,7.7,124,13647
185603.683,135,-1.0,228.9,18.6,124,11914
185748.691,140,-1.0,146.7,6.2,124,10866
185906.690,99,-1.0,214.7,0.0,124,2367
186458.723,102,-1.0,128.4,24.6,126,11066
186437.712,172,34.3,285.5,6.9,126,10972
186514.718,173,96.7,195.8,6.7,126,10972
186492.720,44,-1.0,174.6,173.7,126,10866
186669.726,87,-1.0,209.5,22.1,126,10866
186687.739,137,-1.0,276.7,16.9,126,10866
186634.734,126,-1.0,347.6,18.7,126,11914
187074.744,63,-1.0,222.6,0.0,126,2371
187362.758,174,18.0,122.3,7.0,127,10972
187454.771,83,-1.0,206.8,6.8,127,11914
187574.771,164,-1.0,258.2,0.0,128,793
187793.781,175,28.7,110.1,7.2,128,10972
188388.803,93,-1.0,162.8,8.6,129,13591
188481.813,176,28.8,126.5,7.5,128,10972
189030.836,68,-1.0,98.0,6.7,129,10866
189132.881,177,18.5,137.0,6.8,129,10972
189174.841,3,-1.0,129.4,16.8,129,10866
189696.867,152,-1.0,181.8,7.6,129,13739
190747.918,92,-1.0,206.5,0.0,129,789
191011.929,128,-1.0,183.0,26.2,128,13739
